edge_id,u,v,dist,edge_type
transfer_edge_000096,ew_1097701580,ride_1097701580,0.0,transfer
transfer_edge_000097,ew_1097701614,ride_1097701614,0.0,transfer
transfer_edge_000098,ew_1125718846,ride_1125718846,0.0,transfer
transfer_edge_000099,ew_1125718866,ride_1125718866,0.0,transfer
transfer_edge_000100,ew_1125718888,ride_1125718888,0.0,transfer
transfer_edge_000101,ew_1125718893,ride_1125718893,0.0,transfer
transfer_edge_000102,ew_1125718895,ride_1125718895,0.0,transfer
transfer_edge_000103,ew_1125728455,ride_1125728455,0.0,transfer
transfer_edge_000104,ew_1125728456,ride_1125728456,0.0,transfer
transfer_edge_000105,ew_1125728458,ride_1125728458,0.0,transfer
transfer_edge_000106,ew_1125728459,ride_1125728459,0.0,transfer
transfer_edge_000107,ew_1125728464,ride_1125728464,0.0,transfer
transfer_edge_000108,ew_1125728466,ride_1125728466,0.0,transfer
transfer_edge_000109,ew_1125728473,ride_1125728473,0.0,transfer
transfer_edge_000110,ew_1125728476,ride_1125728476,0.0,transfer
transfer_edge_000111,ew_1125728477,ride_1125728477,0.0,transfer
transfer_edge_000112,ew_1125728479,ride_1125728479,0.0,transfer
transfer_edge_000113,ew_1125728483,ride_1125728483,0.0,transfer
transfer_edge_000114,ew_1125728484,ride_1125728484,0.0,transfer
transfer_edge_000115,ew_1125728486,ride_1125728486,0.0,transfer
transfer_edge_000116,ew_1125728492,ride_1125728492,0.0,transfer
transfer_edge_000117,ew_1125728493,ride_1125728493,0.0,transfer
transfer_edge_000118,ew_1125728498,ride_1125728498,0.0,transfer
transfer_edge_000119,ew_1125728501,ride_1125728501,0.0,transfer
transfer_edge_000120,ew_1125728504,ride_1125728504,0.0,transfer
transfer_edge_000121,ew_1125728506,ride_1125728506,0.0,transfer
transfer_edge_000122,ew_1125728510,ride_1125728510,0.0,transfer
transfer_edge_000123,ew_1125728512,ride_1125728512,0.0,transfer
transfer_edge_000124,ew_1125728514,ride_1125728514,0.0,transfer
transfer_edge_000125,ew_1125728515,ride_1125728515,0.0,transfer
transfer_edge_000126,ew_1125728519,ride_1125728519,0.0,transfer
transfer_edge_000127,ew_1125728521,ride_1125728521,0.0,transfer
transfer_edge_000128,ew_1125728523,ride_1125728523,0.0,transfer
transfer_edge_000129,ew_1125728527,ride_1125728527,0.0,transfer
transfer_edge_000130,ew_1125728528,ride_1125728528,0.0,transfer
transfer_edge_000131,ew_1125728531,ride_1125728531,0.0,transfer
transfer_edge_000132,ew_1125728539,ride_1125728539,0.0,transfer
transfer_edge_000133,ew_1125728540,ride_1125728540,0.0,transfer
transfer_edge_000134,ew_1125728541,ride_1125728541,0.0,transfer
transfer_edge_000135,ew_1125728542,ride_1125728542,0.0,transfer
transfer_edge_000136,ew_1125735961,ride_1125735961,0.0,transfer
transfer_edge_000137,ew_1125735999,ride_1125735999,0.0,transfer
