edge_id,u,v,dist,edge_type
alight_edge_000102,ride_1125718895,ew_1125718895,0.0,alight
alight_edge_000103,ride_1125728455,ew_1125728455,0.0,alight
alight_edge_000104,ride_1125728456,ew_1125728456,0.0,alight
alight_edge_000105,ride_1125728458,ew_1125728458,0.0,alight
alight_edge_000106,ride_1125728459,ew_1125728459,0.0,alight
alight_edge_000107,ride_1125728464,ew_1125728464,0.0,alight
alight_edge_000108,ride_1125728466,ew_1125728466,0.0,alight
alight_edge_000109,ride_1125728473,ew_1125728473,0.0,alight
alight_edge_000110,ride_1125728476,ew_1125728476,0.0,alight
alight_edge_000111,ride_1125728477,ew_1125728477,0.0,alight
alight_edge_000112,ride_1125728479,ew_1125728479,0.0,alight
alight_edge_000113,ride_1125728483,ew_1125728483,0.0,alight
alight_edge_000114,ride_1125728484,ew_1125728484,0.0,alight
alight_edge_000115,ride_1125728486,ew_1125728486,0.0,alight
alight_edge_000116,ride_1125728492,ew_1125728492,0.0,alight
alight_edge_000117,ride_1125728493,ew_1125728493,0.0,alight
alight_edge_000118,ride_1125728498,ew_1125728498,0.0,alight
alight_edge_000119,ride_1125728501,ew_1125728501,0.0,alight
alight_edge_000120,ride_1125728504,ew_1125728504,0.0,alight
alight_edge_000121,ride_1125728506,ew_1125728506,0.0,alight
alight_edge_000122,ride_1125728510,ew_1125728510,0.0,alight
alight_edge_000123,ride_1125728512,ew_1125728512,0.0,alight
alight_edge_000124,ride_1125728514,ew_1125728514,0.0,alight
alight_edge_000125,ride_1125728515,ew_1125728515,0.0,alight
alight_edge_000126,ride_1125728519,ew_1125728519,0.0,alight
alight_edge_000127,ride_1125728521,ew_1125728521,0.0,alight
alight_edge_000128,ride_1125728523,ew_1125728523,0.0,alight
alight_edge_000129,ride_1125728527,ew_1125728527,0.0,alight
alight_edge_000130,ride_1125728528,ew_1125728528,0.0,alight
alight_edge_000131,ride_1125728531,ew_1125728531,0.0,alight
alight_edge_000132,ride_1125728539,ew_1125728539,0.0,alight
alight_edge_000133,ride_1125728540,ew_1125728540,0.0,alight
alight_edge_000134,ride_1125728541,ew_1125728541,0.0,alight
alight_edge_000135,ride_1125728542,ew_1125728542,0.0,alight
alight_edge_000136,ride_1125735961,ew_1125735961,0.0,alight
