episode_index,episode_return,terminated_reason,closure_mode,closed_loop,fitness_reward,average_gtc,std_gtc,route_node_count,route_path_node_ids
55,-8162.6254927351265,closed_loop,forced,True,-8160.625502232533,4140.324012395059,,3,"[1187, 1192, 1187]"
56,-13336.09375,closed_loop,forced,True,-13335.093317150051,5588.034453509615,,3,"[551, 552, 551]"
57,-7720.983890429122,closed_loop,forced,True,-7718.983762240927,3352.9599601502327,,3,"[2492, 3597, 2492]"
58,-15537.426154191897,closed_loop,forced,True,-15536.426245509036,8436.299453555901,,3,"[843, 846, 843]"
59,-4056.0914259366837,closed_loop,forced,True,-4055.091240701535,2081.278736117125,,3,"[2895, 3081, 2895]"
60,-20965.818359375,closed_loop,forced,True,-20964.81826120538,14949.994511925212,,3,"[513, 256, 513]"
61,-134.38931274414062,closed_loop,forced,True,-133.38930922085356,133.38930922085356,,3,"[2084, 107, 2084]"
62,-9162.72265625,closed_loop,forced,True,-9161.722244339953,7189.407502384309,,3,"[818, 819, 818]"
63,-112.43936157226562,closed_loop,forced,True,-111.43936480457072,111.43936480457072,,3,"[1147, 1146, 1147]"
64,-18779.205078125,closed_loop,forced,True,-18778.20566087423,14321.575347470269,,3,"[3721, 2111, 3721]"
65,-19396.463050744143,closed_loop,forced,True,-19393.96366786268,11349.40847240162,,5,"[1500, 1466, 1462, 1466, 1500]"
66,-4161.691808542462,closed_loop,forced,True,-4157.856481458387,4157.856481458387,,7,"[1425, 689, 1428, 710, 1428, 689, 1425]"
67,-3943.575927734375,closed_loop,forced,True,-3941.575871631294,1684.9418661478783,,3,"[1292, 1292, 1292]"
68,-6857.43017578125,closed_loop,forced,True,-6856.430236323754,6856.430236323754,,3,"[134, 136, 134]"
69,-5380.39501953125,closed_loop,forced,True,-5378.394957620678,3228.5940689785953,,3,"[2132, 2134, 2132]"
70,-19332.859375,closed_loop,forced,True,-19331.860204485834,11276.712407749093,,3,"[3087, 3086, 3087]"
71,-7062.01171875,closed_loop,forced,True,-7061.011781267264,3652.700924970389,,3,"[831, 835, 831]"
72,-9264.9482421875,closed_loop,forced,True,-9263.947921649562,4528.331535997169,,3,"[2051, 2050, 2051]"
73,-15589.7939453125,closed_loop,forced,True,-15588.793603790273,7844.362038241204,,3,"[3412, 3410, 3412]"
74,-11786.962890625,closed_loop,forced,True,-11785.962728247527,6564.158270032577,,3,"[2060, 988, 2060]"
75,-6777.549238010877,closed_loop,forced,True,-6775.548888469697,2917.4644105697275,,5,"[1776, 1778, 1784, 1778, 1776]"
76,-4985.87353515625,closed_loop,forced,True,-4984.873428406462,4984.873428406462,,3,"[892, 3426, 892]"
77,-91.87799835205078,closed_loop,forced,True,-90.87799987534076,90.87799987534076,,3,"[1813, 174, 1813]"
78,-12508.1171875,closed_loop,forced,True,-12507.11673766291,5934.615999805697,,3,"[3430, 3581, 3430]"
