node_id,base_node_id,x,y,lon,lat
3953787829,3953787829,635894.9450009691,908571.3179808905,124.2337468,8.2176739
3953787830,3953787830,635747.0651653167,908501.1322310697,124.2324025,8.2170433
3954377292,3954377292,636580.9392576846,909840.6682637415,124.2400094,8.2291339
3954377293,3954377293,636637.6104514322,909832.4398842687,124.2405236,8.2290579
4133198042,4133198042,639520.6135640545,915192.1323586233,124.2668483,8.2774451
4465598920,4465598920,635182.892202776,905900.7584968283,124.2272092,8.1935428
4522140318,4522140318,642113.759871579,912544.2489923878,124.2903122,8.2534246
4522140321,4522140321,642385.4466247762,912702.9719798971,124.2927832,8.254852
4615451925,4615451925,636276.8865303884,908243.9108595102,124.2372046,8.2147024
4783888786,4783888786,637343.2186964161,910499.3128026142,124.2469476,8.2350688
4895748554,4895748554,636223.3752725802,909565.4594088596,124.2367559,8.2266551
5132198571,5132198571,639290.070740134,910298.4974512465,124.2646145,8.2331975
5144421015,5144421015,638373.7948115956,919174.017498396,124.2565513,8.3134871
5144421017,5144421017,638365.7567169444,919190.7117045252,124.2564788,8.3136383
5144421019,5144421019,638358.0283840103,919206.9756316068,124.2564091,8.3137856
5144421521,5144421521,638350.8805304973,919224.2697941802,124.2563447,8.3139422
5144421523,5144421523,638299.4116149074,919200.1218091528,124.2558767,8.3137253
5144421527,5144421527,638306.4790920338,919183.8557799854,124.2559404,8.313578
5144421529,5144421529,638319.5313232297,919166.2817639724,124.2560584,8.3134187
5144421530,5144421530,638345.0306483791,919158.7325896779,124.2562897,8.3133497
5144421536,5144421536,638339.5834043734,919247.5663522766,124.2562428,8.3141532
5144421537,5144421537,638328.4466846167,919265.4339421089,124.2561422,8.3143151
5144421539,5144421539,638316.563209446,919286.0857819106,124.2560349,8.3145022
5144421543,5144421543,638417.6504732848,919362.1316165854,124.2569549,8.315187
5144421546,5144421546,638266.7024416022,919244.5486943583,124.255581,8.314128
5144421549,5144421549,638155.7364578748,919223.7288060846,124.2545729,8.3139429
5144421550,5144421550,638273.7970390952,919264.8957805616,124.255646,8.3143118
5144421553,5144421553,638278.6778428212,919285.2358519878,124.2556909,8.3144956
5144421556,5144421556,638148.30335443,919261.5678377266,124.2545065,8.3142853
5144421559,5144421559,638135.9295452865,919277.0983102921,124.2543946,8.3144261
5144421561,5144421561,638204.3610737754,919314.7905937092,124.255017,8.314765
5144421562,5144421562,638123.2061428997,919298.6874582347,124.2542797,8.3146217
5144421563,5144421563,638305.1327241668,919334.0854930973,124.2559325,8.3149366
5144421564,5144421564,638284.5293825753,919329.4200478117,124.2557453,8.314895
