node_id,base_node_id,x,y,lon,lat
245366634,245366634,638516.9708810493,904758.8482102908,124.2574391,8.183123
245366694,245366694,637154.9367063687,907971.0883685484,124.2451671,8.2122106
333797343,333797343,637021.7413736106,909309.974211277,124.2439958,8.2243223
333797496,333797496,637053.4109339686,909364.0130388866,124.2442848,8.2248101
333797842,333797842,637344.0867584045,910507.0892251956,124.2469557,8.2351391
333801115,333801115,628899.6008685874,905210.0522312872,124.1701587,8.1874658
333801534,333801534,637511.4321552222,910973.050430944,124.248488,8.2393482
333802153,333802153,633162.9184771884,907218.1494600205,124.2089104,8.2055119
333802241,333802241,638911.8197342117,912412.4521181152,124.2612415,8.2523253
333802287,333802287,630879.7952688121,906149.3878465337,124.1881576,8.1959082
333802343,333802343,636452.1890195033,908384.7986738996,124.2387998,8.2159716
333802599,333802599,637114.8630854997,909512.0039678575,124.2448468,8.2261467
333802982,333802982,632205.3101650972,906874.3665524859,124.2002088,8.2024289
333803154,333803154,638626.5618647834,911725.912915971,124.2586323,8.2461249
333803181,333803181,638264.0268724157,918065.3819973506,124.2555228,8.3034646
333803294,333803294,635794.5220396945,908025.4590055253,124.23282,8.2127403
333803513,333803513,638246.0777598035,917851.7401030726,124.2553537,8.3015331
333804172,333804172,629128.2693947079,905275.4491039457,124.172236,8.1880512
333806758,333806758,637408.0527564825,911228.762828662,124.2475568,8.2416636
333811802,333811802,632579.0895189117,907054.5983310502,124.2036065,8.2040487
333816262,333816262,637278.3916677344,910109.4298387225,124.2463481,8.2315448
333819288,333819288,638021.9842030839,911474.544594883,124.2531369,8.2438689
333820518,333820518,637314.8487646354,910454.4508571287,124.2466888,8.2346639
333825267,333825267,631736.2203371146,906664.8059264792,124.1959452,8.2005464
333827569,333827569,638751.046671761,914221.4400633774,124.2598339,8.268689
333828306,333828306,636997.6286681602,909536.2323910313,124.2437833,8.2263691
333833129,333833129,636722.878212238,909046.5215490358,124.2412755,8.2219482
333833195,333833195,636637.399729998,908563.1047220033,124.240486,8.2175789
333837298,333837298,638695.5623641204,911775.7807167363,124.2592601,8.2465739
334408953,334408953,637181.1891733647,907634.147275464,124.2453959,8.2091628
334408954,334408954,637214.863905001,907649.5559511457,124.245702,8.2093012
334408955,334408955,637287.8133810356,907679.2407661986,124.246365,8.2095676
334408956,334408956,636591.150772675,909488.793781125,124.2400922,8.2259515
