base_osmid,lat,lon,bc,bldg_density,traffic_index,is_observed,ADT_prop
0,8.183123,124.2574391,0.03671485745189112,0,1.2819887417496219,False,1281.9887417496218
1,8.1833374,124.25737100000002,0.03710303654339184,0,1.2904531973155886,False,1290.4531973155886
2,8.1828344,124.2575061,0.03671485745189112,0,1.2870199823273605,False,1287.0199823273604
3,8.1844087,124.2571008,0.03749121563489256,0,1.02,True,1020.0
2702,8.1807728,124.2567725,0.03672257917763765,0,1.325535646153496,False,1325.535646153496
382,8.1846304,124.2570461,0.03749121563489256,0,1.02,True,1020.0
4,8.212210599999999,124.2451671,0.06715418900735122,0,1.867253525656676,False,1867.253525656676
5,8.2124045,124.245586,0.006184524997679874,0,0.6877722605992116,False,687.7722605992116
6,8.212655299999998,124.2449894,0.06122830573934947,0,1.6436388188641287,False,1643.6388188641286
7,8.2119366,124.2452895,0.06715418900735122,0,1.9110661552025598,False,1911.06615520256
378,8.2142831,124.2450245,0.010575985894788528,0,0.7027336615705546,False,702.7336615705547
730,8.212546899999998,124.2459512,0.01344179254883775,0,0.6872738947715309,False,687.2738947715309
4661,8.212865800000142,124.24490070000142,0.06122830573934947,0,1.6167092502148264,False,1616.7092502148264
375,8.2115925,124.2454431,0.06883738088877207,0,2.019452831396751,False,2019.4528313967508
8,8.2243223,124.24399579999998,0.28109856487036233,0,2.862769290619017,False,2862.769290619017
9,8.2245347,124.244083,0.2811533386071998,0,2.8582433418435507,False,2858.2433418435508
10,8.222581499999999,124.2432321,0.2813290619921793,0,2.9238693075961626,False,2923.869307596163
11,8.2248101,124.2442848,0.28132992798011347,0,2.8513152034840297,False,2851.3152034840296
1808,8.222136900000002,124.2429498,0.2813290619921793,0,2.9495006328779443,False,2949.500632877944
12,8.224591850000278,124.24499624999888,0.0021450521129889096,0,0.7099524096797415,False,709.9524096797414
13,8.225242799999998,124.2446731,0.2811877616275839,0,2.8396888002253493,False,2839.6888002253495
14,8.2256468,124.2436279,0.0005166339684055848,0,0.7146786148580578,False,714.6786148580578
644,8.224016,124.2448322,0.0016092220787087773,0,0.7128865937386798,False,712.8865937386798
333,8.225107200000238,124.2451405499989,0.0013523844905602262,0,0.7078291157927014,False,707.8291157927014
332,8.225453299999998,124.24416,4.705201109099613e-05,0,0.7121322380779619,False,712.1322380779619
55,8.226146699999997,124.24484680000002,0.2833023598315538,0,2.8301634734118917,False,2830.1634734118916
649,8.225769799999998,124.2430758,0.007261741822151192,0,0.7176755972798209,False,717.6755972798209
111,8.2263691,124.2437833,0.006070864081317421,0,0.7136991667388475,False,713.6991667388475
15,8.235103950000108,124.24695164999942,0.2785439726301627,0,2.7797866840772003,False,2779.7866840772003
16,8.236410599999996,124.2469838,0.005194664706069984,0,0.6966064824686405,False,696.6064824686406
99,8.234663899999997,124.2466888,0.2831389046089754,0,2.7779597555907425,False,2777.9597555907426
594,8.2359825,124.2481382,0.2753535287492839,0,2.7880643800503475,False,2788.0643800503476
35,8.238631099999997,124.24793940000002,0.005632529855294859,0,0.7021596831903749,False,702.159683190375
100,8.2366376,124.2464742,0.003731758505408744,0,0.6963220031254055,False,696.3220031254054
178,8.236226250000994,124.24756255000106,0.0011592691812358311,0,0.696929746751112,False,696.929746751112
17,8.398062799999998,124.2915278,0.02816903593748895,0,1.3043,True,1304.3
18,8.3990029,124.2922347,0.024296337895790762,0,2.3256761523829588,False,2325.6761523829587
19,8.397261750002752,124.29005954999867,0.02850374027405343,0,2.2558596362294874,False,2255.8596362294875
20,8.395414300000002,124.2913912,0.005728293687684049,0,0.5747483829745734,False,574.7483829745735
21,8.398356300000001,124.29154080000002,0.0017094240992606916,0,1.3043,True,1304.3
2765,8.3981282,124.2935418,0.019561981859573415,0,0.9243793790058835,False,924.3793790058835
2764,8.3994418,124.2915762,0.0013996890814653613,0,1.2766,True,1276.6
2766,8.399619899999998,124.2926236,0.004078983584188388,0,0.5604384347885959,False,560.4384347885959
2761,8.398795799999998,124.2906049,0.002916214368385205,0,0.5672973508250401,False,567.2973508250401
84,8.396420500000001,124.2855768,0.12101892717662098,0,1.2333,True,1233.3
85,8.397424499999996,124.2895014,2.4500241971461943e-05,0,1.2766,True,1276.6
1101,8.383204699999999,124.2853904,0.0038700639950650234,0,0.6080656710004657,False,608.0656710004657
2752,8.394925400000002,124.29316540000002,0.0016708515533586403,0,0.5739287649625965,False,573.9287649625965
2762,8.398887100000001,124.2915661,0.0011094387921893084,0,1.2766,True,1276.6
22,8.341357300001444,124.26055404999572,0.16448419665835462,0,1.22,True,1220.0
23,8.341125299999998,124.25954620000002,0.00036912735694853563,0,0.6093901637984747,False,609.3901637984746
24,8.3405286,124.26017489999998,0.16486259730276512,0,1.494589988875776,False,1494.589988875776
36,8.342335199999999,124.2609313,0.15159948693101524,0,2.4412900364016847,False,2441.2900364016846
3568,8.341264099999998,124.26212700000002,0.012322900055033533,0,0.610535530569892,False,610.535530569892
4230,8.340353350000711,124.2589656000001,0.0007586054303505389,0,0.6094751028666195,False,609.4751028666195
4762,8.3403511,124.25951650000002,8.659879341901128e-07,0,0.609756877329362,False,609.756877329362
4227,8.340344799999997,124.2600914,0.16486259730276512,0,1.4391454497260217,False,1439.1454497260218
25,8.336997,124.25689730000002,0.0,0,0.6350071912260035,False,635.0071912260034
26,8.337680299999993,124.2580882,0.1699569156569608,0,1.2,True,1200.0
27,8.333264299999998,124.2503835,0.0,0,1.2,True,1200.0
28,8.336536199999998,124.25719250000002,0.1699569156569608,0,1.2917,True,1291.7
4222,8.337806,124.258313,0.1699569156569608,0,1.2,True,1200.0
4821,8.3379856,124.2560685,0.0,0,0.6173989420096297,False,617.3989420096298
3553,8.333462100000002,124.25026950000002,0.0,0,1.2,True,1200.0
3554,8.333062600002199,124.25002454999812,0.0,0,1.2,True,1200.0
29,8.1874658,124.17015870000002,0.10195474404788452,0,1.5161,True,1516.1
30,8.187571999999998,124.17068299999998,0.10279179355194044,0,3.0240571668267573,False,3024.057166826757
31,8.186222,124.16766760000002,0.10157006499095114,0,2.856006757070778,False,2856.006757070778
313,8.187666199999999,124.1710116,0.10311101835418127,0,3.0201458137967196,False,3020.1458137967197
314,8.1867588,124.170784,5.452115702338586e-05,0,1.5484,True,1548.4
1030,8.185985700000002,124.16521,0.10125520621121185,0,1.5484,True,1548.4
32,8.2393482,124.248488,0.004721221885882131,0,0.7059945260329047,False,705.9945260329047
33,8.239764499999998,124.2483091,0.004800531947521708,0,0.7058021557231922,False,705.8021557231922
34,8.240068299999997,124.2504962,0.0015035354679069923,0,0.7212900028667367,False,721.2900028667367
1770,8.2405173,124.25024120000002,0.0005004688603007028,0,0.724130438633022,False,724.130438633022
584,8.2393787,124.24737480000002,0.001727321183233954,0,0.700367915420843,False,700.367915420843
1773,8.2402721,124.2481095,0.004908780439295472,0,0.7049123838324618,False,704.9123838324618
642,8.239563599999999,124.25103660000002,0.2887516249902757,0,2.87617513128413,False,2876.17513128413
591,8.2410109,124.2514544,0.0008245648446713525,0,0.7357891401676236,False,735.7891401676236
577,8.238445800002244,124.24851435000195,0.0020234890567269724,0,0.7037510341645693,False,703.7510341645693
578,8.238806999999996,124.2473875,0.0023613686823834817,0,0.700429012109384,False,700.4290121093841
37,8.3433209,124.2604118,0.13183720927882978,0,1.2945389333157078,False,1294.5389333157077
38,8.3434141,124.2608493,0.019093590635668338,0,0.606755022305031,False,606.7550223050309
3570,8.343475,124.2603305,0.13183720927882978,0,1.2,True,1200.0
3572,8.343059199999999,124.2596602,0.13183720927882978,0,1.531177079072604,False,1531.177079072604
3555,8.3436824,124.26071330000002,0.0016270830798514485,0,0.6027001339952334,False,602.7001339952334
3556,8.343399199999999,124.26130329999998,0.016901775174233163,0,1.2917,True,1291.7
39,8.205511899999998,124.2089104,0.3607199852551121,0,2.8606113024881616,False,2860.6113024881615
40,8.2054443,124.20876710000002,0.3607199852551121,0,2.85819035394175,False,2858.1903539417503
41,8.202902099999998,124.21033119999998,0.02863692200176575,0,1.1578992264554404,False,1157.8992264554404
42,8.206744299999999,124.2118811,0.3607199852551121,0,1.5161,True,1516.1
1742,8.2045235,124.20674850000002,0.35113263283569335,0,2.886701539482785,False,2886.701539482785
205,8.202443600000002,124.21055979999998,0.026724098986462153,0,0.8596413017905589,False,859.6413017905588
4740,8.202579,124.2096749,0.0009389835004762211,0,1.0,True,1000.0
1064,8.207387399999998,124.2136413,0.34186374747907305,0,1.5161,True,1516.1
1065,8.204767200000001,124.2117383,0.02863692200176575,0,0.7191661897609689,False,719.1661897609689
43,8.252325299999999,124.2612415,0.252624917677022,0,1.4118,True,1411.8
44,8.2535042,124.2608481,0.25236147693087524,0,2.0930145962019617,False,2093.014596201962
45,8.2513775,124.2613781,0.25292555982150833,0,2.8040323726217684,False,2804.0323726217684
46,8.252184599999996,124.2617387,0.252624917677022,0,1.6971502414370463,False,1697.1502414370464
1563,8.254259100000025,124.26052360000028,0.2521265777037262,0,2.3927376123749564,False,2392.7376123749564
874,8.251120999999998,124.26138380000002,0.25492368264832965,0,2.798257652706888,False,2798.257652706888
2692,8.2540789,124.2623629,0.25236147693087524,0,2.5139172403607186,False,2513.9172403607186
47,8.1959082,124.18815759999998,0.1196527229619443,0,1.5,True,1500.0
48,8.196107099999999,124.1878797,0.1196527229619443,0,1.5187162956712787,False,1518.7162956712787
49,8.195592,124.1888818,0.1196527229619443,0,1.5484,True,1548.4
1368,8.1938355,124.1840085,2.8866264473003763e-07,0,0.7143360419397916,False,714.3360419397916
4390,8.195982500000001,124.1887611,0.1196527229619443,0,1.5513817062185085,False,1551.3817062185085
2654,8.196462999999998,124.1905006,0.1196527229619443,0,2.012722984625226,False,2012.722984625226
2650,8.194923899999997,124.1894478,0.1196527229619443,0,1.6311756834128341,False,1631.1756834128341
50,8.215971599999998,124.2387998,0.329574260125167,0,2.870543561165926,False,2870.543561165926
51,8.2154334,124.23930570000002,0.026017452832163022,0,0.7153044011537337,False,715.3044011537337
52,8.216496299999998,124.2383381,0.010059099346568803,0,0.7204298321280168,False,720.4298321280168
53,8.2153547,124.2380173,0.3189386653942417,0,2.8345120639883095,False,2834.5120639883094
54,8.216987699999999,124.23990489999998,0.3088868547794523,0,2.946400029591511,False,2946.400029591511
733,8.215046699999998,124.239674,0.02527854862731531,0,0.7134696741066207,False,713.4696741066207
434,8.216699199999997,124.2405471,0.008281695194474189,0,0.7383989596594354,False,738.3989596594354
747,8.2144842,124.23812420000002,0.0012569093208157664,0,0.7030518038383939,False,703.051803838394
687,8.215909800000002,124.2376101,0.002598108133892704,0,0.7119244623575679,False,711.9244623575679
683,8.2168617500033,124.23812419999594,0.010059099346568803,0,0.7235788405875058,False,723.5788405875057
668,8.214702399999998,124.2372046,0.31981659674535756,0,2.8044195970667167,False,2804.4195970667165
3727,8.2171651,124.2397421,0.3088868547794523,0,2.948322157109392,False,2948.322157109392
432,8.217133100000002,124.2400504,0.3088868547794523,0,2.9591549736569562,False,2959.1549736569564
56,8.226065800000002,124.2453242,0.004385362898738732,0,0.7050862763191709,False,705.0862763191709
57,8.226248900000002,124.2443137,0.0019071940937313587,0,0.7104508510759459,False,710.4508510759458
58,8.226651100000002,124.24493470000002,0.28041407357404624,0,2.8256164431233812,False,2825.616443123381
650,8.225990700000002,124.2456904,0.0053098771841478595,0,0.7032782011861274,False,703.2782011861274
322,8.2270977,124.2450332,0.2800979158124056,0,2.8210563579747037,False,2821.0563579747036
113,8.226837499999998,124.24388580000002,0.004554952202517629,0,0.7128691112534625,False,712.8691112534625
59,8.2024289,124.2002088,0.12527897440471628,0,2.5091833043912946,False,2509.1833043912948
60,8.2018694,124.1989834,0.12459920995920763,0,2.1390470098296053,False,2139.0470098296055
61,8.2028283,124.20093730000002,0.0627647126659251,0,1.5,True,1500.0
62,8.202477099999998,124.2004686,0.0627647126659251,0,1.33375458838181,False,1333.75458838181
104,8.2014985,124.1981614,0.12459920995920763,0,2.1349199509047634,False,2134.9199509047635
106,8.199596099999999,124.19647,0.0023657707877156146,0,0.7052814173883817,False,705.2814173883817
89,8.2034309,124.2022048,0.09420927579882696,0,1.2332387069118766,False,1233.2387069118768
315,8.202548299999998,124.200679,0.0627647126659251,0,1.4072079045162678,False,1407.2079045162677
328,8.201097000000003,124.20041170000002,0.06188292045193601,0,1.039060631134315,False,1039.060631134315
63,8.2461249,124.25863230000002,0.3341589084972612,0,1.668487198801208,False,1668.487198801208
64,8.2465739,124.2592601,0.256894346441071,0,1.5347914193262049,False,1534.791419326205
65,8.2458417,124.25808360000002,0.33507490723465083,0,1.4118,True,1411.8
66,8.246291699999999,124.25913520000002,0.07705510122460797,0,0.7045787175667637,False,704.5787175667637
136,8.2470742,124.2597926,0.2573169124701252,0,1.4118,True,1411.8
137,8.246385300000002,124.2593845,0.07702926591790463,0,0.7045903773056974,False,704.5903773056974
1597,8.2461869,124.2579541,0.0013085077685612606,0,0.7057752904296808,False,705.7752904296808
909,8.245645800000002,124.2576205,0.3341471454944885,0,1.6321784744565944,False,1632.1784744565944
67,8.3034646,124.2555228,0.2478561747032512,0,1.3261,True,1326.1000000000001
68,8.3028894,124.2554677,0.2639328798731847,0,1.7638929646070238,False,1763.8929646070237
69,8.304964900000002,124.2556205,0.24883142144847162,0,1.4077303171354787,False,1407.7303171354788
74,8.3015331,124.2553537,4.329939670950564e-07,0,1.25,True,1250.0
3013,8.3021449,124.2566411,0.02057587331635708,0,0.6388973432725422,False,638.8973432725422
2996,8.304939799999998,124.256259,0.022625269845448576,0,0.6298821593737277,False,629.8821593737277
2997,8.305270000000002,124.2556369,0.226648599271733,0,1.25,True,1250.0
70,8.212740299999997,124.23282000000002,0.32857426055816097,0,1.673344021967616,False,1673.3440219676158
71,8.2156762,124.2321212,0.007848556896056767,0,0.694066248534106,False,694.0662485341061
72,8.212373300002136,124.23148974999955,0.3281478336662335,0,2.7368446468464063,False,2736.8446468464062
73,8.2129466,124.23335740000002,0.32485563620308744,0,1.4483969888880424,False,1448.3969888880424
655,8.2159703,124.2320616,0.007848556896056767,0,0.6946529496782549,False,694.6529496782549
2535,8.212263977840914,124.23073699193826,0.32795655858126926,0,2.7712976945713206,False,2771.297694571321
