idx,base_osmid,layer,lat,lon,node_type
0,0,0,8.183123,124.2574391,intersection
1,0,2,8.183123,124.2574391,intersection
2,1,0,8.1833374,124.25737100000002,intersection
3,1,2,8.1833374,124.25737100000002,intersection
4,2,0,8.1828344,124.25750610000001,intersection
5,2,2,8.1828344,124.25750610000001,intersection
6,3,0,8.1844087,124.2571008,intersection
7,3,2,8.1844087,124.2571008,intersection
8,2702,0,8.1807728,124.25677250000001,intersection
9,2702,2,8.1807728,124.25677250000001,intersection
10,382,0,8.1846304,124.2570461,intersection
11,382,2,8.1846304,124.2570461,intersection
12,4,0,8.212210599999999,124.2451671,intersection
13,4,2,8.212210599999999,124.2451671,intersection
14,5,0,8.2124045,124.245586,intersection
15,5,2,8.2124045,124.245586,intersection
16,6,0,8.212655299999998,124.24498940000001,intersection
17,6,2,8.212655299999998,124.24498940000001,intersection
18,7,0,8.2119366,124.2452895,intersection
19,7,2,8.2119366,124.2452895,intersection
20,378,0,8.2142831,124.24502449999999,intersection
21,378,2,8.2142831,124.24502449999999,intersection
22,730,0,8.212546899999998,124.2459512,intersection
23,730,2,8.212546899999998,124.2459512,intersection
24,4661,0,8.212865800000142,124.24490070000142,intersection
25,4661,2,8.212865800000142,124.24490070000142,intersection
26,375,0,8.2115925,124.2454431,intersection
27,375,2,8.2115925,124.2454431,intersection
28,8,0,8.2243223,124.24399579999998,intersection
29,8,2,8.2243223,124.24399579999998,intersection
30,9,0,8.2245347,124.24408299999999,intersection
31,9,2,8.2245347,124.24408299999999,intersection
32,10,0,8.222581499999999,124.24323210000001,intersection
33,10,2,8.222581499999999,124.24323210000001,intersection
34,11,0,8.2248101,124.2442848,intersection
35,11,2,8.2248101,124.2442848,intersection
36,1808,0,8.222136900000002,124.24294979999999,intersection
37,1808,2,8.222136900000002,124.24294979999999,intersection
38,12,0,8.224591850000278,124.24499624999889,intersection
39,12,2,8.224591850000278,124.24499624999889,intersection
40,13,0,8.225242799999998,124.24467310000001,intersection
41,13,2,8.225242799999998,124.24467310000001,intersection
42,14,0,8.2256468,124.2436279,intersection
43,14,2,8.2256468,124.2436279,intersection
44,644,0,8.224016,124.2448322,intersection
45,644,2,8.224016,124.2448322,intersection
46,333,0,8.225107200000238,124.2451405499989,intersection
47,333,2,8.225107200000238,124.2451405499989,intersection
48,332,0,8.225453299999998,124.24416,intersection
49,332,2,8.225453299999998,124.24416,intersection
50,55,0,8.226146699999997,124.24484680000002,intersection
51,55,2,8.226146699999997,124.24484680000002,intersection
52,649,0,8.225769799999998,124.24307580000001,intersection
53,649,2,8.225769799999998,124.24307580000001,intersection
54,111,0,8.2263691,124.2437833,intersection
55,111,2,8.2263691,124.2437833,intersection
56,15,0,8.235103950000108,124.24695164999942,intersection
57,15,2,8.235103950000108,124.24695164999942,intersection
58,16,0,8.236410599999996,124.2469838,intersection
59,16,2,8.236410599999996,124.2469838,intersection
60,99,0,8.234663899999997,124.2466888,intersection
61,99,2,8.234663899999997,124.2466888,intersection
62,594,0,8.2359825,124.2481382,intersection
63,594,2,8.2359825,124.2481382,intersection
64,35,0,8.238631099999997,124.24793940000002,intersection
65,35,2,8.238631099999997,124.24793940000002,intersection
66,100,0,8.2366376,124.24647420000001,intersection
67,100,2,8.2366376,124.24647420000001,intersection
68,178,0,8.236226250000994,124.24756255000106,intersection
69,178,2,8.236226250000994,124.24756255000106,intersection
70,17,0,8.398062799999998,124.2915278,intersection
71,17,2,8.398062799999998,124.2915278,intersection
72,18,0,8.3990029,124.2922347,intersection
73,18,2,8.3990029,124.2922347,intersection
74,19,0,8.397261750002752,124.29005954999867,intersection
75,19,2,8.397261750002752,124.29005954999867,intersection
76,20,0,8.395414300000002,124.2913912,intersection
77,20,2,8.395414300000002,124.2913912,intersection
78,21,0,8.398356300000001,124.29154080000002,intersection
79,21,2,8.398356300000001,124.29154080000002,intersection
80,2765,0,8.3981282,124.2935418,intersection
81,2765,2,8.3981282,124.2935418,intersection
82,2764,0,8.3994418,124.2915762,intersection
83,2764,2,8.3994418,124.2915762,intersection
84,2766,0,8.399619899999998,124.29262360000001,intersection
